dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
steel-plates-fault,2,5,3.811216354370117,0,112139,16028,85781,1130,630660.6116666667,946439.4613888889,0.3313000202178955,25593,147043850
mechanical,4,2,0.0233826637268066,0,381,269,155,147,381.0,267.75,0.020212173461914062,810,466
mechanical,4,3,0.0549724102020263,0,1429,1194,757,307,1428.75,1156.875,0.026958942413330078,1291,4526
mechanical,4,5,0.227607250213623,0,4751,3953,3150,411,6699.15,5429.7375,0.03487038612365723,1794,174437
OnlineShoppersIntention,True,2,0.137580394744873,0,3250,1483,1362,306,3250.0,1656.111111111111,0.12597012519836426,7200,4096
OnlineShoppersIntention,True,3,0.730229377746582,0,19685,8280,11710,498,25858.46153846154,16131.481481481482,0.1828141212463379,10680,121576
OnlineShoppersIntention,True,5,11.609828233718872,0,87234,55673,65702,684,157036.76923076922,200615.24074074073,0.22500300407409668,13334,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1497840881347656,0,5050,4600,2264,410,5050.0,4600.0,0.15886497497558594,10000,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,3.5735414028167725,0,125050,19758,68469,658,125050.0,55618.75,0.2766144275665283,18900,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,8.519273042678833,0,128377,19758,71698,658,605593.75,61243.75,0.3228020668029785,22636,79375496
glass,3,2,0.0123107433319091,0,382,220,174,137,382.0,218.25,0.01388096809387207,811,497
glass,3,3,0.0223278999328613,0,1021,555,675,249,1143.25,456.0,0.016736507415771484,1188,4992
glass,3,5,0.031036376953125,0,1311,815,944,287,2315.85625,989.41875,0.02003335952758789,1410,206368
molecular_promoter,+,2,0.3699314594268799,0,25879,745,9894,478,25879.0,1219.1895604395604,0.4799323081970215,51530,26107
molecular_promoter,+,3,0.4241120815277099,0,27475,883,11490,585,26982.705761316873,1306.9130036630036,0.5206954479217529,53419,1975583
molecular_promoter,+,5,0.4308140277862549,0,27527,890,11542,591,27664.149485596707,5425.227243589744,0.5204653739929199,53825,5024313128
